search 	 搜索
book james d conrey house for madeleine keisha and clara alvarez far from your colleagues college 	 为玛德琳·凯莎（Madeleine keisha）和克拉拉·阿尔瓦雷斯（Clara Alvarez）预订的詹姆斯·康雷之家，距您的同事学院很远
movie 	 电影
what are the movies movie times nearby 	 附近的电影时间是多少
search 	 搜索
find a trailer called hellboy the troll witch and others 	 找到一个叫地狱男巫的拖车，巨魔女巫和其他人
music 	 音乐
play the music track of 1998 	 播放1998年的音乐曲目
restaurant 	 餐厅
book a table at a bar in argentina 	 在阿根廷的一家酒吧预订桌子
music 	 音乐
play the album a kiss before you go by bt 	 在您离开bt之前先播放专辑一个吻
movie 	 电影
need to see mother joan of the angels in one second 	 需要在一秒钟内看到天使的母亲琼
weather 	 天气
can you tell me the weather forecast for three o clock in de 	 你能告诉我德三点钟的天气预报吗
music 	 音乐
play the best songs of 2016 	 播放2016年最好的歌曲
music 	 音乐
play some techno 	 玩一些技术
weather 	 天气
check the weather forecast in seven weeks for emida 	 检查七个星期的天气预报
search 	 搜索
show creative work of through the back door 	 通过后门展示创意作品
music 	 音乐
play sunshine reggae on youtube 	 在YouTube上播放雷鬼摇摆乐
search 	 搜索
play the what i need to do soundtrack 	 播放我需要做的配乐
weather 	 天气
what is the freezing forecast for british virgin islands 	 英国处女岛的冰冻预报是什么？
movie 	 电影
find the movie schedule for movies close by 	 查找附近电影的电影时间表
music 	 音乐
play dhafer youssef top-twenty on netflix 	 在netflix上播放dhafer youssef排名前二十
weather 	 天气
what is the weather forecast nearby sc 	 sc附近的天气预报是什么
movie 	 电影
when is the woman going to be scheduled at the closest movie house ? 	 女人打算什么时候去最近的电影院呢？
search 	 搜索
can you please look up the game the islanders ? 	 你能看一下岛民的比赛吗？
weather 	 天气
weather in radnor township wv 	 拉德诺镇wv的天气
movie 	 电影
is you will meet a tall dark stranger at bow tie cinemas 	 你会在领结电影院遇到一个高大的黑暗陌生人吗
search 	 搜索
please find me the work instrumental directions 	 请找到我的工作指导
restaurant 	 餐厅
i want to make a reservation at the conflict kitchen for one 	 我想在冲突厨房预订一个
restaurant 	 餐厅
book a restaurant in lake fenton for four 	 在芬顿湖预定一家餐厅，四个人
music 	 音乐
play a tune from 1962 	 演奏1962年的曲子
music 	 音乐
play punk rock music 	 播放朋克摇滚音乐
search 	 搜索
can you find me the restless natives ? 	 你能找到我那不安定的人吗？
music 	 音乐
can you use pandora to play a soundtrack from 1999 by david sitek ? 	 您可以使用pandora播放David Sitek录制的1999年的原声带吗？
weather 	 天气
what do the cloud indicate in east aurora 	 云在东极光中指示什么
movie 	 电影
show me the movies at the closest cinema 	 给我看最近的电影院里的电影
search 	 搜索
find tortured man 	 找到遭受酷刑的人
weather 	 天气
what is the weather going to be like this evening in arkansas 	 阿肯色州今晚的天气如何？
movie 	 电影
find the movie times for films in the area 	 查找该地区电影的电影时间
movie 	 电影
find the movie schedules for cineplex odeon corporation 	 查找电影院odeon公司的电影时间表
search 	 搜索
can you help me find the author!author !trailer ? 	 你能帮我找到作者吗？作者！预告片 ？
weather 	 天气
is it going to get hotter in my current position 	 我现在的位置会变得更热吗
restaurant 	 餐厅
book a pub for two on jan first 2037 	 为2037年1月第一日预订两个酒吧
movie 	 电影
please tell me the movie schedules 	 请告诉我电影时间表
weather 	 天气
weather for oct 16 in mo 	 10月16日的天气在Mo
weather 	 天气
forecast for laguna heights barbados 	 预报拉古纳高地巴巴多斯
weather 	 天气
what will the weather be for hooksett 	 豪克斯特的天气如何
weather 	 天气
what will the weather be in grand coteau ut at six pm ? 	 下午六点大UT的天气将怎样？
movie 	 电影
where is wild america showing at zero p m 	 狂野的美国在哪里显示为零p m
restaurant 	 餐厅
i need a highly rated oyster bar in ar in a month for jeanne collins amy and i 	 我需要在一个月内让珍妮·柯林斯·艾米和我在ar上备受好评的牡蛎
search 	 搜索
find a show called the paper route 	 找到一个叫纸路的表演
music 	 音乐
play a 2001 sound track on deezer 	 在deezer上播放2001年的音轨
search 	 搜索
where can i view the tv series of witch 	 我在哪里可以观看女巫的电视连续剧
search 	 搜索
show acta mathematicae applicatae sinica tv show 	 表演数学应用电视
weather 	 天气
what s the weather going to be like around lewis and clark trail sixteen hours from now ? 	 从现在开始十六小时后，刘易斯和克拉克小径周围的天气如何？
weather 	 天气
how will the weather be in kentucky this week ? 	 本周肯塔基的天气如何？
restaurant 	 餐厅
find a reservation for 3 people 	 查找3个人的预订
movie 	 电影
show movies at the nearest movie house 	 在最近的电影院放映电影
weather 	 天气
what s the weather in ri ? 	 里的天气如何？
search 	 搜索
where can i locate the show the return of mr moto 	 我在哪里可以找到演出摩托先生的归来
music 	 音乐
play music from 1950 	 播放1950年的音乐
weather 	 天气
what s the weather in south hill 	 南山的天气如何
movie 	 电影
find the movie schedule 	 查找电影时间表
music 	 音乐
play music on netflix 	 在netflix上播放音乐
restaurant 	 餐厅
i want to book the best steakhouse with south american cuisines in alaska 	 我想预定阿拉斯加南美美食中最好的牛排馆
weather 	 天气
is there snowstorm in la ? 	 拉有暴风雪吗？
movie 	 电影
give me the movie schedule at santikos theatres 	 给我桑提科斯剧院的电影时间表
restaurant 	 餐厅
book a restaurant at sixteen oclock in sc 	 在SC 16点预定一家餐厅
music 	 音乐
play some ray williams music from the nineties on spotify 	 在Spotify播放90年代的雷威廉姆斯音乐
search 	 搜索
pull up the trailer for 2000 years – the millennium concert 	 拉起预告片长达2000年-千年音乐会
restaurant 	 餐厅
please reserve a table at the food truck in wheeler for december 4th 2019 	 请在2019年12月4日在惠勒的食品卡车上预订一张桌子
music 	 音乐
play top-twenty fourties movement music by mohammad reza lotfi 	 播放Mohammad Reza Lotfi的二十四十年代运动音乐
weather 	 天气
give me the weather forecast in zimbabwe 	 给我天气预报津巴布韦
music 	 音乐
play me a nineties song by joseph genaro 	 约瑟夫·杰纳罗（Joseph genaro）
weather 	 天气
will there be snowfall faraway from robinson forest 	 罗宾逊森林会降雪吗
restaurant 	 餐厅
book a spot for ten at a restaurant with a spa in us minor outlying islands 	 在美国离岛小岛的一家带水疗中心的餐厅预订10点景点
movie 	 电影
is the swan available to watch at the movie house now ? 	 现在可以在电影院里观看天鹅吗？
restaurant 	 餐厅
book me a bar where i can get a bear claw in as 	 预定我的酒吧，在那里我可以得到熊爪
search 	 搜索
please find me the rear mirror saga 	 请找我后视镜的传奇
music 	 音乐
play music by odd nosdam 	 播放奇数Nosdam的音乐
search 	 搜索
show creative last light 	 显示创意的最后一刻
music 	 音乐
play music off itunes 	 在iTunes上播放音乐
music 	 音乐
play ep from quasimoto from the nineties 	 从90年代的准本位开始播放ep
restaurant 	 餐厅
i want a table for eight at gu 	 我想要一张八点桌
weather 	 天气
what is the weather in mascotte 	 马斯科特（mascotte）的天气如何
restaurant 	 餐厅
book a reservation for 8 at a restaurant that serves chicken fried bacon in aruba 	 在阿鲁巴岛上一家供应鸡肉炸培根的餐厅预订8
restaurant 	 餐厅
i need to book the best food court in within the same area as ok that serves persian food for my ex husband and i 	 我需要在可以为我的前夫和我提供波斯食物的ok区域内预订最好的美食广场
search 	 搜索
find the living room tapes a tv series 	 找到电视系列的客厅录像带
restaurant 	 餐厅
lets go to a bistro in sd 	 让我们去SD小酒馆
movie 	 电影
what time is bhoot returns showing at douglas theatre company 	 bhoot几点返回道格拉斯剧院公司
movie 	 电影
what are movie times for movies playing in the neighborhood ? 	 在附近播放电影的电影时间是几点？
search 	 搜索
show me a picture of nokia football crazy 	 给我看一张诺基亚足球的照片
weather 	 天气
what will the humidity be in beroun on aug 26 	 8月26日周围的湿度将是多少
movie 	 电影
where is the nearest movie house that is playing sirivantha 	 最近的电影院在哪里播放sirivantha
music 	 音乐
play something from the twenties on lastfm 	 在lastfm上玩二十年代的东西
search 	 搜索
play a trailer for sencha touch 	 播放预告片
movie 	 电影
find santikos theatres showing animated movies 	 查找显示动画电影的桑蒂科斯剧院
search 	 搜索
i m looking for the music of nashville season 3 saga 	 我正在寻找纳什维尔第3季传奇的音乐
restaurant 	 餐厅
book a restaurant for three people in jenkins 	 在詹金斯为三人预订餐厅
restaurant 	 餐厅
i need a reservation for next week with a party of six 	 我需要六人聚会预定下周
search 	 搜索
show tv show schedule archiveis 	 电视节目时间表
restaurant 	 餐厅
want to eat at diners of allentown pennsylvania on purim 	 想在普im节上在宾夕法尼亚州阿伦敦的食客吃饭
music 	 音乐
play some songs from 1958 	 播放1958年的歌曲
movie 	 电影
show the movie schedule 	 显示电影时间表
search 	 搜索
please search the work eve-olution 	 请搜索工作前的解决方案
movie 	 电影
which animated movies are playing at megaplex theatres at tea time? 	 下午茶时间，哪些动画电影在巨型剧院上映？
weather 	 天气
what will the weather be like at 3 am in trinidad and tobago 	 特立尼达和多巴哥凌晨3点的天气如何
weather 	 天气
what s the weather going to be one hour from now in taiwan 	 从现在开始一小时后台湾的天气如何
movie 	 电影
find the movie schedule for century theatres 	 查找世纪剧院的电影时间表
search 	 搜索
find the picture their finest hour 	 找到最好的时光
music 	 音乐
play the newest released song from 1951 	 播放1951年发行的最新歌曲
weather 	 天气
will it be warmer at 15 o clock in deepwater bonaire 	 深水博奈尔岛15点会变暖吗？
movie 	 电影
can you give me the movie times 	 你能给我看电影的时候吗
movie 	 电影
find the schedule for movies at plitt theatres 	 查找普利特剧院的电影时间表
weather 	 天气
what is the southern shops forecast for warm temps 	 南部商店预测温度会升高吗？
music 	 音乐
plan an album by roni duani 	 计划roni duani的专辑
movie 	 电影
what are the movie schedule now 	 现在的电影时间表是什么
weather 	 天气
i d like to see weather conditions for ennis 	 我想看看恩尼斯的天气情况
restaurant 	 餐厅
i need a table for 1 minute from now at any pub for five around in that also serves fisnn chips 	 从现在起，我需要在任何一家酒吧里呆一分钟的桌子，周围大约五个，这也可以提供fisnn筹码
music 	 音乐
i want to hear music by madeleine peyroux from 1991 on youtube 	 我想听听1991年的Madeleine Peyroux在youtube上的音乐
search 	 搜索
show me the album apache axis2 	 告诉我专辑apache axis2
search 	 搜索
show creativity of book future of the past 	 显示过去书的未来的创造力
music 	 音乐
play zvooq 	 玩zvooq
weather 	 天气
will there be a snowstorm in slick or four hours from now ? 	 从现在开始或四个小时后还会有暴风雪吗？
weather 	 天气
at my current spot is it going to be hotter on nov the eighth 	 在我目前的位置上，它会在十一月八日更热
weather 	 天气
what s the weather going to be like in fort point san francisco tomorrow ? 	 明天旧金山要塞的天气如何？
movie 	 电影
tell me what films are around here 	 告诉我这附近有什么电影
weather 	 天气
is it warm in sierra blanca now 	 现在在塞拉利昂布兰卡温暖吗
movie 	 电影
give me the movie schedule for films in the area 	 给我该地区电影的电影时间表
movie 	 电影
find the movie schedule for fox theatres at supper time 	 在晚饭时间查找狐狸剧院的电影时间表
movie 	 电影
find a cinema for the tenderfoot nearest me 	 为离我最近的嫩足找电影院
search 	 搜索
find a tv series called the golden hits of sandie shaw 	 找到一个电视连续剧，叫做“桑迪·肖的金曲”
weather 	 天气
how much fog is there in tarpon springs ? 	 塔彭泉有多少雾？
restaurant 	 餐厅
book a restaurant in goshenville pr for october 16 2038 	 于2038年10月16日在Goshenville PR预订一家餐厅
music 	 音乐
play me a song by kevin cadogan 	 播放凯文·卡多根（kevin cadogan）的歌曲
restaurant 	 餐厅
book a spot for nine near togo 	 预订多哥附近9点的景点
restaurant 	 餐厅
book a spot for 3 at a bar in antarctica 	 在南极洲的一家酒吧预订3点景点
weather 	 天气
is it going to be colder in botswana by 09 30 	 9月30日在博茨瓦纳会变得更冷吗
weather 	 天气
what is the forecast for the current spot for cloudy conditions 	 当前多云天气的预测值是多少
music 	 音乐
play some chanson music 	 播放一些香颂音乐
weather 	 天气
what is the weather of pine city 	 松城的天气如何
music 	 音乐
play heavy machinery by phil spector on zvooq 	 由phil spector在zvooq上播放重型机械
weather 	 天气
will it be cloudy by five pm in gobler jersey 	 下午五点之前多云吗？
restaurant 	 餐厅
book a table at a pool bar 	 在泳池酒吧预订桌子
search 	 搜索
find the television show titled spatial query server 	 查找标题为空间查询服务器的电视节目
restaurant 	 餐厅
make me a reservation at a bar for a party of 7 in indonesian 	 让我在一家酒吧预订印尼语的7人派对
music 	 音乐
play a song from 1990 on netflix 	 在netflix上播放1990年的歌曲
movie 	 电影
what films are showing in the neighbourhood 	 在附近放映什么电影
weather 	 天气
what weather is predicted for loyalhanna ? 	 loyalhanna预计什么天气？
movie 	 电影
what theaters are showing a lonely place to die – todesfalle highlands starting at 14 40 	 剧院展现出一个孤独的死亡之地–堕落的高地始于14 40
search 	 搜索
find a trailer called sheriff of tombstone 	 找到一个叫做墓碑警长的拖车
restaurant 	 餐厅
book the middle east restaurant in in for noon 	 预订中午的中东餐厅
restaurant 	 餐厅
book a spot for nine in lavalette guam 	 预订拉瓦列特关岛九点景点
music 	 音乐
i want to listen to lastfm play a drop of the hard stuff by joi chua 	 我想听lastfm播放joi chua的一堆硬东西
music 	 音乐
play the artist tei last concert on netflix 	 在netflix上播放艺术家tei的最后一场音乐会
weather 	 天气
weather for ma in the morning 	 妈妈早上的天气
search 	 搜索
play keep their heads ringin’ 	 玩保持警惕
search 	 搜索
what is the tv show this is halloween ? 	 这是万圣节的电视节目是什么？
restaurant 	 餐厅
book a brasserie for connie scott and madeline in northern mariana islands in eleven hours 	 在十一小时内为北马里亚纳群岛的康妮·斯科特和玛德琳预订一家小酒馆
weather 	 天气
is it supposed to hail in ny 	 它应该在纽约冰雹吗
movie 	 电影
where is nichiren to mōko daishūrai playing 	 nichiren在mōkodaishūrai哪里玩
movie 	 电影
is jack the ripper playing in one hour at the nearest movie house ? 	 开膛手杰克要在最近的电影院一小时内放映吗？
restaurant 	 餐厅
book a table at a restaurant within the same area as the octagon christchurch in allentown 	 在与阿伦敦（Allentown）八角形基督城相同区域内的餐厅预订餐桌
music 	 音乐
play some symphonic rock 	 演奏一些交响乐
weather 	 天气
what is the humidity in serbia 	 塞尔维亚的湿度是多少
restaurant 	 餐厅
book mars 2112 in rwanda for 4 people 	 预订卢旺达火星号2112，可供4人使用
restaurant 	 餐厅
book pm park clear lake iowa at 5 am for 6 people 	 预订pm公园清澈的爱荷华湖，上午5点，可供6人
weather 	 天气
is there going to be a depression in my current location on nov the ninth 	 我九月十一号的当前位置会不会有萧条
search 	 搜索
play if you go 	 如果你去玩
restaurant 	 餐厅
book a stracciatella provider coffeehouse for 10 	 预订10岁的stracciatella提供者咖啡屋
search 	 搜索
i d like to see confessions of an indian teenager 	 我想看一个印度少年的自白
music 	 音乐
play my trabajo relax playlist 	 播放我的trabajo放松播放列表
restaurant 	 餐厅
book a restaurant for four in trinidad and tobago 	 预订特立尼达和多巴哥四人的餐厅
weather 	 天气
show me weather forecast in clontarf ky from 4 hours from now 	 从现在开始的4小时为我显示天气预报clontarf ky
weather 	 天气
what is the weather not far from current position 	 离当前位置不远的天气是什么
search 	 搜索
i m looking for a game called gateway 	 我在寻找一款名为Gateway的游戏
search 	 搜索
find as live as it gets 	 找到尽可能的活
restaurant 	 餐厅
book a table for kirsten price audra and i faraway from our location at an outdoor taverna 	 预订一张价格为克尔斯滕·奥德拉的桌子，我在室外小酒馆里远离我们的位置
weather 	 天气
what is the weather going to be like on st patrick s day ? 	 帕特里克节那天的天气如何？
search 	 搜索
find a soundtrack called the spanish jade 	 找到一个叫做西班牙玉的配乐
music 	 音乐
can you play some andrew cash music on slacker 	 你能在懒人上播放一些安德鲁现金音乐吗
weather 	 天气
will it be windy at 4 pm in ny ? 	 纽约下午4点有风吗？
weather 	 天气
what is the weather like in hurstville ? 	 赫斯特维尔的天气如何？
movie 	 电影
what films are at cinemark theatres 	 电影院电影院里放什么电影
search 	 搜索
play the knockabout soundtrack 	 播放仿生音乐原声带
search 	 搜索
show the collectors video game 	 展示收藏家视频游戏
weather 	 天气
what is the pw forecast for jul 9 in robert 	 罗伯特7月9日的体重预测是多少
music 	 音乐
play the song little robin redbreast 	 播放这首歌《小知更鸟》
music 	 音乐
play some origa on google music 	 在Google音乐上播放Origa
weather 	 天气
what will the weather be like in 16 weeks at the ivory coast 	 象牙海岸16周后的天气如何
music 	 音乐
i want ohear the 1996 soundtrack from deezer 	 我想听听Deezer的1996年配乐
weather 	 天气
will there be a snowfall here in the neighboring areas? 	 邻近地区会降雪吗？
weather 	 天气
what is the forecast for my current place at 23 o clock 	 我现在23点的地方的预报是什么
search 	 搜索
i d like to see the game called god is in the tv 	 我想看看叫做上帝的游戏在电视上
movie 	 电影
what movies are currently at star theatres ? 	 目前在明星剧院看什么电影？
music 	 音乐
use groove shark to play music from the nineties 	 用九十年代的鲨鱼来演奏音乐
weather 	 天气
what is the weather in arkansas the city of morrison 	 阿肯色州莫里森市的天气如何
music 	 音乐
play some music from the thirties 	 播放三十年代的音乐
movie 	 电影
find me showtimes for animated movies in the neighbourhood 	 找到我附近动画电影的放映时间
restaurant 	 餐厅
i need to book a table at a bar in micronesia for tia madeline and estela 	 我需要在密克罗尼西亚的一家酒吧预订桌子，以便查看tia madeline和estela
weather 	 天气
what is the weather forecast for strong city 	 强劲城市的天气预报是什么
weather 	 天气
give me weather information for porcupine mountains 	 给我豪猪山的天气信息
search 	 搜索
please search the songs for the deaf video game 	 请在歌曲中搜索聋人视频游戏
weather 	 天气
what s the weather forecast for oman 2 months from now ? 	 从现在开始的2个月阿曼的天气预报是什么？
movie 	 电影
is ce cher intrus at imax corporation 	 是imax公司的ce cher intrus
movie 	 电影
find dipson theatres animated movies 	 查找迪普森剧院动画电影
search 	 搜索
please search for the work wholehearted 	 请全力寻找工作
restaurant 	 餐厅
party for 2 in cleveland 	 克利夫兰2人聚会
search 	 搜索
show the night riders 	 显示夜间骑手
restaurant 	 餐厅
book a table for 3 at a top-rated restaurant 	 在顶级餐厅预订3人餐桌
restaurant 	 餐厅
book reservations at a restaurant in ne for 4 people on apr 2 2021 	 2021年4月2日在ne的一家餐厅预订4人
movie 	 电影
find a movie schedule 	 查找电影时间表
weather 	 天气
what is the forecast for petersville oh 	 彼得斯维尔的天气预报是什么
search 	 搜索
find me the lace and whiskey soundtrack 	 找到我的蕾丝和威士忌配乐
search 	 搜索
where can i purchase papers in regional science the album ? 	 我在哪里可以买到该地区专辑的论文？
search 	 搜索
find a video game called a stroll in the pork 	 找到一个叫做猪肉漫步的电子游戏
music 	 音乐
play some fun-punk 	 玩一些朋克
search 	 搜索
where can i locate leo the lion for purchase 	 我在哪里可以找到狮子购买狮子
weather 	 天气
she me the forecast for clayton lake state park on oct 17th 	 她是10月17日克莱顿湖州立公园的天气预报
search 	 搜索
find to each his own cinema an album 	 在每个电影院里找到一张专辑
restaurant 	 餐厅
book me a reservation for a mediterranean restaurant on confederate memorial day nearby ocean grove 	 在同城阵亡将士纪念日附近给我预订地中海餐厅的预订
search 	 搜索
look for the trailer for red stallion in the rockies 	 在落基山脉寻找红色种马的拖车
movie 	 电影
what movie schedules start at sunset ? 	 什么电影时间表从日落开始？
weather 	 天气
show cloud forcast in 1 hour in ia 	 在IA中显示1小时内的云预测
music 	 音乐
play step up your game by marc cohn 	 马克·科恩（Marc Cohn）
music 	 音乐
i need to hear the song aspro mavro from bill szymczyk on youtube 	 我需要在YouTube上听到Bill Szymczyk的歌曲aspro mavro
music 	 音乐
play white noise 	 播放白噪声
restaurant 	 餐厅
book a spot for 8 in a cafeteria with german chocolate cake in ecru new mexico 	 在新墨西哥州的ecru的自助餐厅预订8点德国巧克力蛋糕
music 	 音乐
play some seventies track from top rie tomosaka 	 从顶级rie tomosaka播放七十年代的曲目
search 	 搜索
find black mirror iii final fear 	 找到黑镜三最后的恐惧
movie 	 电影
movie times at warren theatres 	 沃伦剧院的电影时间
movie 	 电影
what films are playing at the nearest movie house 	 最近的电影院正在播放什么电影
restaurant 	 餐厅
looking for a tibetan restaurant and need reservations for 1 	 寻找一家藏族餐厅，需要预订1
movie 	 电影
what time is the corner playing 	 角落玩什么时间
music 	 音乐
play me a ballad by dres on groove shark 	 给我玩一首歌
weather 	 天气
is it getting colder in leonard harrison state park 	 伦纳德·哈里森州立公园天气变冷吗
music 	 音乐
play my under the surface playlist 	 播放我的表面播放列表
movie 	 电影
is the happy hooker goes hollywood at the movie house nearest me 	 是最快乐的妓女去离我最近的电影院的好莱坞吗
movie 	 电影
where is the beach of lost children playing 	 失落的孩子们在哪里玩耍的海滩在哪里
search 	 搜索
find the movie shake your spirit 	 找电影动摇你的精神
music 	 音乐
play zvooq latest track by peter appleyard 	 播放peter appleyard的zvooq最新曲目
search 	 搜索
i want to find the video game masada anniversary edition vol 3 the unknown masada 	 我想找到电子游戏masada周年纪念版vol 3未知的masada
search 	 搜索
find a tv show called randy scouse git 	 找到一个名为randy scouse git的电视节目
movie 	 电影
find the broken 	 找到破碎的
movie 	 电影
what is the movie schedules at for douglas theatre company at 0 p m ? 	 道格拉斯剧院公司下午0点的电影时间表是什么？
search 	 搜索
show thousand miles movie 	 放映千里电影
search 	 搜索
show the my world 20 photograph 	 展示我的世界20张照片
search 	 搜索
show me the work titled the perfect gentleman which is a song 	 给我看标题为完美绅士的作品
weather 	 天气
what will the weather be in nationalpark rila on nov 25 ? 	 11月25日，里拉国家公园天气如何？
music 	 音乐
i wish to listen to some fifties music 	 我想听五十年代的音乐
movie 	 电影
can i get the newest movie schedule in the area for animated movies ? 	 我可以获取该地区动画电影的最新电影时间表吗？
restaurant 	 餐厅
book a table for 9 scheduled for april the 8th in nj 	 预定9月份预定在新泽西州的8月8日预订一张桌子
weather 	 天气
what will the weather be next apr in mt ? 	 明年4月mt的天气如何？
restaurant 	 餐厅
at ten am i want to reserve a spot for 9 people to eat in monaco 	 我想在上午十点在摩纳哥保留一个可供9人用餐的位置
restaurant 	 餐厅
book a reservation for a parry of eight for a restaurant in birch river mo 	 预订莫奇伯里河一家餐厅的8点格挡的预订
restaurant 	 餐厅
book a spot far from Åland 	 预订远离Åland的景点
movie 	 电影
show movie schedules for marcus corporation 	 显示马库斯公司的电影时间表
music 	 音乐
play me a frank farian ep 	 给我玩一个坦率的法里安EP
music 	 音乐
let s play the album handover on deezer 	 让我们在deezer上播放专辑移交
movie 	 电影
what movie house is the closest playing animated movies 	 哪个电影院是最近播放动画片的电影
movie 	 电影
find the schedule for heart beats 	 找到心跳的时间表
restaurant 	 餐厅
i need to book a tropézienne restaurant six hours from now 	 我需要从现在开始六小时预订tropézienne餐厅
restaurant 	 餐厅
make a table reservation at the top-rated brasserie in cotton center 	 在棉花中心排名前列的小酒馆预订餐桌
restaurant 	 餐厅
book a delicatessen that is indoor for 3 	 预订室内3人熟食店
music 	 音乐
play me some music youtube 	 播放一些音乐YouTube
weather 	 天气
will a blizzard hit torrey pines state natural reserve on jun sixteenth ? 	 暴风雪会在6月16日袭击托里松州的自然保护区吗？
music 	 音乐
play geddy lee music on spotify sort by top 	 在Spotify播放geddy lee音乐排在最前面
search 	 搜索
show creativity in the red saga 	 在红色传奇中展现创造力
movie 	 电影
what movie theatre is playing the deaths of ian stone 	 哪个电影院在播放伊恩·斯通的死亡
movie 	 电影
what film to see at arclight hollywood 	 在arclight好莱坞看什么电影
search 	 搜索
please find me the platinum box ii song ? 	 请找我白金盒子二首歌吗？
weather 	 天气
